"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
9.346298000E-3,-2.889999934E-2,-6.999999750E-4,3.082999885E-1
1.933067300E-2,-2.889999934E-2,-6.999999750E-4,3.082999885E-1
2.933067300E-2,1.440999955E-1,-2.307000011E-1,-3.944999874E-1
3.933067300E-2,1.724999994E-1,-2.877999842E-1,-1.996999979E-1
4.933067300E-2,1.965999901E-1,-4.685999751E-1,4.419999942E-2
5.933067300E-2,1.579999924E-1,-5.580999851E-1,2.380999923E-1
6.933067300E-2,6.239999831E-2,-5.862999558E-1,3.999999762E-1
7.933067300E-2,1.061000004E-1,-5.992999673E-1,5.651999712E-1
8.933067300E-2,1.952999979E-1,-6.006999612E-1,7.784999609E-1
9.933067300E-2,2.445999980E-1,-5.525000095E-1,9.870999455E-1
1.093306730E-1,3.375999928E-1,-5.243999958E-1,1.106099963E0
1.193306730E-1,3.951999843E-1,-4.373999834E-1,1.076399922E0
1.293306730E-1,2.881999910E-1,-4.379999936E-1,7.400999665E-1
1.393306730E-1,1.109999977E-2,-4.393999875E-1,4.189999998E-1
1.493306730E-1,6.069999933E-2,-2.793000042E-1,6.129999831E-2
1.593306730E-1,1.430999935E-1,-1.823000014E-1,-7.959999889E-2
1.693306730E-1,1.144999936E-1,-7.959999889E-2,-2.104000002E-1
1.793306730E-1,4.239999875E-2,-1.162000000E-1,-3.536999822E-1
1.893306730E-1,-5.629999936E-2,-2.667999864E-1,-4.183000028E-1
1.993306730E-1,-8.869999647E-2,-3.359999955E-1,-1.203999966E-1
2.093306730E-1,-1.106999964E-1,-3.057999909E-1,2.978999913E-1
2.193306730E-1,-9.789999574E-2,-2.511999905E-1,6.771999598E-1
2.293306730E-1,-8.049999923E-2,-2.703000009E-1,9.174000025E-1
2.393306730E-1,-4.569999874E-2,-3.480999768E-1,1.037799954E0
2.493306730E-1,-6.859999895E-2,-3.380999863E-1,9.889999628E-1
2.593306730E-1,-3.289999813E-2,-2.382999957E-1,8.184999824E-1
2.693306730E-1,-3.269999847E-2,-2.185999900E-1,4.515999854E-1
2.793306730E-1,3.179999813E-2,-1.739999950E-1,3.136000037E-1
2.893306730E-1,8.739999682E-2,-3.460000083E-2,1.282999963E-1
2.993306730E-1,5.649999902E-2,2.369999886E-2,-4.539999738E-2
3.093306730E-1,3.519999981E-2,5.279999971E-2,6.499999668E-3
3.193306730E-1,1.323999912E-1,8.299999684E-2,1.859999895E-1
3.293306730E-1,2.117999941E-1,8.410000056E-2,4.347999990E-1
3.393306730E-1,2.741999924E-1,8.339999616E-2,5.084999800E-1
3.493306730E-1,2.820000052E-1,1.181999967E-1,5.550000072E-1
3.593306730E-1,3.048999906E-1,1.871999949E-1,4.670999944E-1
3.693306730E-1,3.339999914E-1,2.114999890E-1,2.938999832E-1
3.793306730E-1,3.587999940E-1,2.800000012E-1,1.919000000E-1
3.893306730E-1,3.977999985E-1,3.540999889E-1,1.606999934E-1
3.993306730E-1,4.310999811E-1,4.036999941E-1,2.005999982E-1
4.093306730E-1,4.493999779E-1,3.403999805E-1,-2.199999988E-3
4.193306730E-1,2.872000039E-1,1.852999926E-1,-3.009999990E-1
4.293306730E-1,2.339999974E-1,2.066999972E-1,-1.680999994E-1
4.393306730E-1,1.523000002E-1,2.195999920E-1,3.567000031E-1
4.493306730E-1,8.280000091E-2,1.527999938E-1,7.942000031E-1
4.593306730E-1,5.659999698E-2,7.310000062E-2,1.047099948E0
4.693306730E-1,1.709999889E-1,-1.999999862E-3,1.101499915E0
4.793306730E-1,2.303999960E-1,4.100000020E-3,9.104999900E-1
4.893306730E-1,1.084999964E-1,3.029999882E-2,5.392000079E-1
4.993306730E-1,1.207999960E-1,1.510999948E-1,1.215999946E-1
5.093306730E-1,5.739999935E-2,2.712000012E-1,-3.533999920E-1
5.193306730E-1,-1.044999957E-1,2.084999979E-1,-7.215999961E-1
5.293306730E-1,-1.617999971E-1,4.609999806E-2,-8.281999826E-1
5.393306730E-1,-1.990000010E-1,-1.069999952E-2,-7.822999954E-1
5.493306730E-1,-2.395999879E-1,2.459999919E-2,-6.893000007E-1
5.593306730E-1,-1.627999991E-1,1.555999964E-1,-4.833999872E-1
5.693306730E-1,-5.150000006E-2,2.171999961E-1,-2.583000064E-1
5.793306730E-1,6.610000134E-2,2.483999878E-1,-6.300000101E-2
5.893306730E-1,1.828999966E-1,2.489999980E-1,4.439999908E-2
5.993306730E-1,1.164999977E-1,1.706999987E-1,2.520000003E-2
6.093306730E-1,-8.079999685E-2,5.419999734E-2,-2.576999962E-1
6.193306730E-1,-2.851999998E-1,-2.149999887E-2,-5.209999681E-1
6.293306730E-1,-2.962000072E-1,3.159999847E-2,-5.598999858E-1
6.393306730E-1,-1.847999990E-1,1.255999953E-1,-4.337999821E-1
6.493306730E-1,-4.949999973E-2,1.422999948E-1,-2.208999991E-1
6.593306730E-1,-1.509999949E-2,1.312000006E-1,2.979999967E-2
6.693306730E-1,-7.719999552E-2,1.604999900E-1,2.314999998E-1
6.793306730E-1,-1.080999970E-1,1.234999970E-1,3.148999810E-1
6.893306730E-1,-1.239999980E-1,5.739999935E-2,2.717999816E-1
6.993306730E-1,-1.456999928E-1,-2.740000002E-2,1.115999967E-1
7.093306730E-1,-2.428999990E-1,-1.211999953E-1,-1.658999920E-1
7.193306730E-1,-3.393999934E-1,-8.549999446E-2,-2.969999909E-1
7.293306730E-1,-3.698000014E-1,-2.730000019E-2,-1.454999894E-1
7.393306730E-1,-3.251000047E-1,-6.579999626E-2,-4.429999739E-2
7.493306730E-1,-2.750000060E-1,-6.629999727E-2,1.151999980E-1
7.593306730E-1,-1.894999892E-1,-1.960000023E-2,1.765999943E-1
7.693306730E-1,-1.440999955E-1,-4.100000020E-3,7.189999521E-2
7.793306730E-1,-1.568999887E-1,5.999999703E-4,-1.303000003E-1
7.893306730E-1,-1.493999958E-1,4.529999942E-2,-2.246999890E-1
7.993306730E-1,-1.034999937E-1,6.279999763E-2,-2.811000049E-1
8.093306730E-1,-5.759999901E-2,7.310000062E-2,-2.307000011E-1
8.193306730E-1,-1.169999968E-2,4.690000042E-2,-9.329999983E-2
8.293306730E-1,3.379999846E-2,7.039999962E-2,-6.399999559E-2
8.393306730E-1,5.810000002E-2,1.223999932E-1,-1.519999932E-2
8.493306730E-1,1.092999950E-1,1.827999949E-1,1.512999982E-1
8.593306730E-1,2.369999886E-1,2.603999972E-1,1.908999979E-1
8.693306730E-1,1.976999938E-1,2.574999928E-1,1.921999902E-1
8.793306730E-1,1.202999949E-1,1.360999942E-1,1.645999998E-1
8.893306730E-1,6.419999897E-2,8.299999684E-2,1.668999940E-1
8.993306730E-1,1.929999888E-2,4.979999736E-2,1.891999990E-1
9.093306730E-1,8.519999683E-2,9.470000118E-2,3.200999796E-1
9.193306730E-1,9.239999950E-2,4.140000045E-2,3.725999892E-1
9.293306730E-1,-1.420000009E-2,1.549999975E-2,3.190999925E-1
9.393306730E-1,-7.979999483E-2,-4.169999808E-2,-2.134999931E-1
9.493306730E-1,-2.788999975E-1,1.362999976E-1,-1.470999956E0
9.593306730E-1,-7.069999725E-2,1.595999897E-1,-1.850000024E-1
