"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
8.345341850E-1,6.499844160E1,2.559619310E1,2.612639896E1,NaN,NaN,5.272000122E1,1.812087059E0
2.410148958E0,6.499844160E1,2.559619310E1,-1.747359951E1,0.000000000E0,NaN,5.272000122E1,0.000000000E0
4.005658854E0,6.499848394E1,2.559560246E1,4.894829884E1,0.000000000E0,0.000000000E0,1.900000000E1,0.000000000E0
5.010360416E0,6.499848394E1,2.559560246E1,4.228518238E1,0.000000000E0,5.017713547E1,1.900000000E1,0.000000000E0
5.977378645E0,6.499848394E1,2.559560246E1,3.477889576E1,0.000000000E0,1.069076767E2,1.900000000E1,0.000000000E0
6.986882811E0,6.499848394E1,2.559560246E1,3.477889576E1,0.000000000E0,8.997440338E1,4.900000095E0,0.000000000E0
7.981451561E0,6.499848394E1,2.559560246E1,3.477889576E1,0.000000000E0,8.998351288E1,4.900000095E0,0.000000000E0
8.982229686E0,6.499848394E1,2.559560246E1,3.477889576E1,0.000000000E0,8.997438812E1,4.900000095E0,0.000000000E0
9.987562498E0,6.499848394E1,2.559560246E1,3.477889576E1,0.000000000E0,8.998658752E1,4.900000095E0,0.000000000E0
1.098316146E1,6.499848394E1,2.559560246E1,3.477889576E1,0.000000000E0,8.999237061E1,4.900000095E0,0.000000000E0
1.197848698E1,6.499848394E1,2.559560246E1,3.477889576E1,0.000000000E0,8.999476624E1,4.900000095E0,0.000000000E0
1.298468385E1,6.499848394E1,2.559560246E1,3.477889576E1,0.000000000E0,8.999612427E1,4.900000095E0,0.000000000E0
1.399111250E1,6.499848394E1,2.559560246E1,3.477889576E1,0.000000000E0,8.999702454E1,4.900000095E0,0.000000000E0
1.498852135E1,6.499848394E1,2.559560246E1,3.453753605E1,0.000000000E0,3.491015930E2,5.764979839E0,0.000000000E0
1.598352344E1,6.499848394E1,2.559560246E1,3.422194615E1,0.000000000E0,3.123870239E2,5.488424301E0,0.000000000E0
1.698345416E1,6.499854012E1,2.559582819E1,3.408947502E1,8.183636665E-1,3.126291199E2,4.699999809E0,0.000000000E0
1.798223385E1,6.499854766E1,2.559582821E1,3.387616813E1,8.361722827E-1,3.130343018E2,5.027620792E0,0.000000000E0
1.898109844E1,6.499855676E1,2.559580966E1,3.372994650E1,9.183970094E-1,3.141115723E2,4.699999809E0,0.000000000E0
1.997352916E1,6.499856446E1,2.559579055E1,3.318516786E1,1.224042058E0,3.089821777E2,4.699999809E0,0.000000000E0
2.097034531E1,6.499857128E1,2.559577244E1,3.304614236E1,1.475602388E0,3.095180054E2,4.699999809E0,0.000000000E0
2.197597864E1,6.499857841E1,2.559575494E1,3.294582098E1,1.676490903E0,3.133426208E2,4.699999809E0,0.000000000E0
2.298622448E1,6.499858586E1,2.559573773E1,3.259458435E1,1.817754269E0,3.165352173E2,4.699999809E0,0.000000000E0
2.397471614E1,6.499859425E1,2.559572225E1,3.224012879E1,1.911825299E0,3.161216431E2,4.699999809E0,0.000000000E0
2.498824843E1,6.499860228E1,2.559570623E1,3.175191440E1,1.967812061E0,3.170777893E2,4.699999809E0,0.000000000E0
